zooID	i	latit	longit	type	scinam	Nestbuilding 	Courtshipfeeding 	Incubation	FeedingOffspring 	Precocilaity 	family	order_	genus	brange_area	clutch_size	generation_length	territoriality	social_bond	migr_dist	lab_method	ep_offspring	wp_offspring	ep_broods	wp_broods	X	Y	rel_latitude	rel_distance	Realm	seasonality	n_epy	n_epb	prop_epb	prop_epo
8	208	51.517	17.417	1	emberiza_schoeniclus	NA	NA	NA	NA	NA	emberizidae	passeriformes	emberiza	NA	NA	NA	NA	NA	NA	1	95	122	41	18	1373458.053	6221435.786	0.174674478	0.249252243	Palearctic	1.093225598	217	59	0.694915254	0.437788018
11	209	35.859	140.639	1	emberiza_yessoensis	0.0  	0.0  	10.0  	47.0  	0  	emberizidae	passeriformes	emberiza	52366566215	5	3.6	1	1	1386.65	0	7	21	NA	NA	12189439.87	4538445.464	-0.593038974	0.319639279	Sino-Japanese	0.845719695	28	NA	NA	0.25
4	210	44.567	-76.324	1	empidonax_minimus	NA	NA	NA	NA	NA	tyrannidae	passeriformes	empidonax	5.74466E+12	4	3.4	2	1	3236.85	1	30	48	13	8	-6310031.593	5509583.286	-0.555211701	0.144278607	Nearctic	1.196040392	78	21	0.619047619	0.384615385
4	211	35.648	-118.378	1	empidonax_traillii	NA	NA	NA	NA	NA	tyrannidae	passeriformes	empidonax	7.30745E+12	3	3.9	2	1	3243.59	1	20	120	13	43	-10270228.43	4513975.137	-0.489601191	0.473	Nearctic	0.555123329	140	56	0.232142857	0.142857143
4	212	42.7	-81	1	empidonax_virescens	NA	NA	NA	NA	NA	tyrannidae	passeriformes	empidonax	3.01176E+12	3	3.7	1	2	3084.36	1	4	25	3	9	-6771976.543	5308194.864	0.737465759	0.024096386	Nearctic	1.211373448	29	12	0.25	0.137931034
4	213	41.767	-79.933	1	empidonax_virescens	NA	NA	NA	NA	NA	tyrannidae	passeriformes	empidonax	NA	NA	NA	NA	NA	NA	1	70	91	40	27	-6718733.862	5206079.998	0.643059149	0.052208835	Nearctic	1.084836483	161	67	0.597014925	0.434782609
8	214	52.193	0.127	1	erithacus_rubecula	0.0  	0	0.0  	60.8  	0  	muscicapidae	passeriformes	erithacus	9.98207E+12	5	6	2	1	1672.9	0	1	24	1	5	9963.934447	6287215.41	0.292693247	0.320359281	Palearctic	1.07855916	25	6	0.166666667	0.04
1	215	-33.683	18.433	0	erythropygia_coryphaeus	NA	NA	NA	NA	NA	muscicapidae	passeriformes	erythropygia	8.78812E+11	3	3.8	2	2	243.941	1	0	30	0	12	1613535.147	-4284180.768	0.830935782	0.002004008	Afrotropical	0.401032299	30	12	0	0
2	216	-15.567	128.15	1	erythrura_gouldiae	NA	NA	NA	NA	NA	estrildidae	passeriformes	erythrura	1.01573E+11	5	3	0	2	112.614	1	20	212	13	44	11869800.38	-2036824.357	0.056523635	0.471414243	Australian	0.50612241	232	57	0.228070175	0.086206897
2	217	-43.859	168.888	1	eudyptes_pachyrhynchus	NA	NA	NA	NA	NA	spheniscidae	sphenisciformes	eudyptes	5795263.591	2	9.6	0	2	354.496	0	0	33	0	24	14023076.53	-5433685.365	-1.32068468	1	Australian	0.63213408	33	24	0	0
6	218	-54.5	158.95	1	eudyptes_schlegeli		0.0  	37.7  	50.0  	0  	spheniscidae	sphenisciformes	eudyptes	102478805.6	2	14.1	0	1	106.96	0	1	25	1	12	12246622.65	-6506674.924	-0.906031574	0.059118236	Oceania	0.821919203	26	13	0.076923077	0.038461538
4	219	66.291	-148.127	1	euphagus_carolinus	NA	NA	NA	NA	NA	icteridae	passeriformes	euphagus	7.25631E+12	4	4.2	1	1	1972.1	1	14	89	8	16	-10200160.84	7490164.361	0.813042075	0.563195147	Nearctic	1.669804931	103	24	0.333333333	0.13592233
1	220	-33.433	25.75	1	euplectes_orix	0	0.0  	0.0  	0	0  	ploceidae	passeriformes	euplectes	2.98323E+12	3	4.1	1	1	556.342	0	76	356	57	130	2256494.478	-4254704.18	0.925261384	0.352112676	Afrotropical	0.443029612	432	187	0.304812834	0.175925926
4	221	52.117	-106.633	1	falco_columbarius	0.0  	100.0  	11.0  	0	0  	falconidae	falconiformes	falco	2.62505E+13	4	5.7	1	1	2282.95	0	0	54	0	18	-8370854.928	6279852.708	0.512147126	0.785282258	Nearctic	1.549904466	54	18	0	0
8	222	35.223	24.806	1	falco_eleonorae	0.0  	100.0  	0	0	0  	falconidae	falconiformes	falco	1.22382E+11	2	6.4	0	1	6241.9	0	0	64	0	17	2156379.558	4464564.027	-0.178806842	0.890452261	Palearctic	0.435583383	64	17	0	0
8	223	37.167	-6.35	1	falco_naumanni	0.0  	100.0  	56.0  	62.0  	0  	falconidae	falconiformes	falco	9.56021E+12	4	5.7	0	1	5006.08	1	1	23	1	7	-546905.4373	4689219.133	-0.340250847	0.120517928	Palearctic	0.556380391	24	8	0.125	0.041666667
8	224	41.35	-0.183	1	falco_naumanni	NA	NA	NA	NA	NA	falconidae	falconiformes	falco	NA	NA	NA	NA	NA	NA	1	6	66	2	21	-15418.194	5160131.897	-0.049266369	0.086653386	Palearctic	0.649177253	72	23	0.086956522	0.083333333
8	225	40.679	16.605	1	falco_naumanni	NA	NA	NA	NA	NA	falconidae	falconiformes	falco	NA	NA	NA	NA	NA	NA	1	NA	NA	5	12	1404228.581	5085803.931	-0.0951948	0.207171315	Palearctic	0.644809067	NA	17	0.294117647	NA
4	226	42.228	-88.465	1	falco_peregrinus	NA	NA	NA	NA	NA	falconidae	falconiformes	falco	3.80684E+13	3	6.8	2	2	3708.46	1	2	124	1	34	-7416331.538	5256655.633	1.878872255	0.820058997	Nearctic	1.331611753	126	35	0.028571429	0.015873016
8	227	59.16	7.811	1	falco_peregrinus	NA	NA	NA	NA	NA	falconidae	falconiformes	falco	NA	NA	NA	NA	NA	NA	1	NA	NA	0	18	578091.657	6924639.149	2.282400364	0.350049164	Palearctic	1.266761899	NA	18	0	NA
8	228	62.817	-92.083	1	falco_peregrinus	NA	NA	NA	NA	NA	falconidae	falconiformes	falco	NA	NA	NA	NA	NA	NA	1	1	77	1	54	-6578960.204	7226661.543	2.355467349	0.008849558	Palearctic	1.864712715	78	55	0.018181818	0.012820513
4	229	45.416	-75.083	1	falco_sparverius	0.0  	100.0  	0	53.1  	0  	falconidae	falconiformes	falco	2.67019E+13	4	5.7	1	1	2305.92	0	10	79	2	19	-6174670.512	5599816.677	2.157511904	0.143	Nearctic	1.279395461	89	21	0.095238095	0.112359551
8	230	63	23	1	falco_tinnunculus	0.0  	100.0  	0.0  	90.0  	0  	falconidae	falconiformes	falco	4.91204E+13	4	5.4	1	2	3093.09	1	6	313	2	73	1640209.588	7241130.034	1.982908557	0.163141994	Palearctic	1.295503497	319	75	0.026666667	0.018808777
8	231	46.965	21.593	1	falco_vespertinus	NA	NA	NA	NA	NA	falconidae	falconiformes	falco	9.33856E+12	4	5.7	1	1	8072.73	1	2	95	1	36	1758110.711	5762193.743	-0.510826304	0.097291876	Palearctic	1.103480101	97	37	0.027027027	0.020618557
8	232	56.755	16.625	1	ficedula_albicollis	0.0  	0	0.0  	53.0  	0  	muscicapidae	passeriformes	ficedula	2.47081E+12	6	3.9	1	2	6644.4	1	163	793	73	91	1257005.234	6713327.03	0.861879438	0.027	Palearctic	1.127958179	956	164	0.445121951	0.170502092
8	233	55.74	36.839	1	ficedula_albicollis	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	50	603	28	93	2809483.876	6621301.644	0.773499264	0.235	Palearctic	1.272212625	653	121	0.231404959	0.076569678
8	234	49.548	17.062	1	ficedula_albicollis	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	254	711	91	71	1364882.909	6026191.361	0.201961854	0.789	Palearctic	1.119064927	965	162	0.561728395	0.263212435
8	235	47.717	19.017	1	ficedula_albicollis	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	35	135	25	20	1540634.15	5839943.807	0.023091739	0.92	Palearctic	1.077764988	170	45	0.555555556	0.205882353
8	236	57.167	18.333	1	ficedula_albicollis	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	71	388	26	53	1381211.893	6750207.684	0.897299216	0.025	Palearctic	1.108804345	459	79	0.329113924	0.154684096
8	237	50.1	20.4	1	ficedula_albicollis	NA	NA	NA	NA	NA	muscicapidae	passeriformes	ficedula	NA	NA	NA	NA	NA	NA	1	75	407	27	51	1625491.32	6081465.088	0.255046137	0.774	Palearctic	1.073002934	482	78	0.346153846	0.15560166
8	238	56.755	16.625	1	ficedula_hypoleuca	0.0  	0	0.0  	44.0  	0  	muscicapidae	passeriformes	ficedula	7.32295E+12	6	4.2	1	2	5286.27	1	17	206	10	28	1257005.234	6713327.03	0.44367658	0.048902196	Palearctic	1.127958179	223	38	0.263157895	0.076233184
